CountLine,OWN_LINE,CountLineCode,CountLineComment,CountSemicolon,CountStmt,MAJOR_LINE,SumCyclomatic,CountStmtExe,CountLineCodeExe,CountLineBlank,CountLineCodeDecl,CountStmtDecl,SumCyclomaticModified,SumCyclomaticStrict,CountClassCoupled,RatioCommentToCode,CountInput_Mean,CountOutput_Mean,CountInput_Max
-0.14248526223488797,-0.9572883358987041,-0.39257104107294916,0.28698800219184106,-0.2812751341306457,-0.34157174846909005,1.0382297175777215,-0.4892449250987855,-0.43008523139112853,-0.27116702823168737,-0.007450487633232816,-0.1794076142754926,-0.062213161614867826,-0.4968729084619356,-0.47660808257105813,-0.8013139206398769,1.277759209447497,-0.43325548501968936,-1.121302202999541,-0.2806934428718054
0.5478807831017811,0.5352731872628291,0.42396013652740594,0.6174406614759698,0.2432224016373141,0.4068450843337482,1.6193805475927734,0.821523048972032,0.42576479528222866,0.1853036557277472,0.5205265789944511,0.3391650624282019,0.287928013247483,0.8609326487992263,0.9320892558075026,0.30857066954467044,-0.3979866042148292,-0.15836826898621487,-0.28665253665675633,0.05265550558569461
-0.5360732604957936,0.7512712687728377,-0.47083281528384585,-0.5391436460184807,-0.5036164808148895,-0.47885530951576455,-0.7052227724674331,-0.3644098799491838,-0.43008523139112853,-0.40916979314965596,-0.4865407888324275,-0.5366465693380377,-0.5144788458120709,-0.3644040736071881,-0.362773954217235,-0.8013139206398769,-0.12245966450215556,-0.408384736902375,-0.8192385142278662,-0.26108468119783484
-0.45672084149157877,0.7512712687728377,-0.4238757507573078,-0.45653048119744855,-0.3724920968728996,-0.36814276028457543,-0.7052227724674331,-0.33320111866178337,-0.341549021735264,-0.356091806642745,-0.33988049254695973,-0.4098843594771346,-0.3685866896194248,-0.33128686489350123,-0.3200861560845514,-0.3977195242091324,-0.22634687127906528,-0.27850416340084394,-0.45004956128470897,-0.2022583961759231
-0.5138545831746134,0.7512712687728377,-0.49170262174008494,-0.45167088326679955,-0.4979154206434987,-0.5098548233004975,-0.7052227724674331,-0.47364054445508524,-0.43008523139112853,-0.40916979314965596,-0.4474313764896361,-0.6173134301586124,-0.6166033551469233,-0.4803143041050922,-0.4623788165268302,-0.7004153215321908,3.1161110858910734,0.5615744396728858,-0.8192385142278662,-0.08460582613209953
-0.3868907127678697,0.7512712687728377,-0.4760502668979056,-0.09206063639877715,-0.46370905961515346,-0.4832838114850121,-0.7052227724674331,-0.3956186412365842,-0.43008523139112853,-0.40916979314965596,-0.4474313764896361,-0.5481704065981198,-0.5290680614313356,-0.39752128232087497,-0.3912324863056908,-0.7004153215321908,4.154983153660171,-0.43325548501968936,-0.8192385142278662,-0.2806934428718054
-0.4789395188127589,0.12349936837332978,-0.42126702495027796,-0.5294244501571828,-0.4352037587581991,-0.4389987917925365,-0.7052227724674331,-0.4112230218802844,-0.3887683335517251,-0.3844000661130975,-0.33988049254695973,-0.5135988948178735,-0.4853004145735417,-0.4140798866777184,-0.3912324863056908,-0.7004153215321908,-0.4612222952964264,-0.17459970459961982,-0.6380003009648614,-0.18264963450195248
-0.06948103675101032,0.7512712687728377,-0.04039305712391423,-0.004587873647096019,-0.036129546760838405,-0.04043361456025573,-0.7052227724674331,-0.09913540900628025,-0.17037901640059255,-0.058855082204043375,-0.2323296086042834,0.3852604114685303,0.287928013247483,-0.08290779954084965,-0.12087643146536096,-0.09502372688607405,-0.40250343929208615,-0.33377249255043184,0.0869525520871578,-0.24147591952386427
-0.021869585348481414,0.7512712687728377,0.08743450742055031,-0.2864445536247352,0.44846056780738536,0.2651330213178262,-0.7052227724674331,-0.3488054993054836,0.44347203721340156,0.2879210963077751,0.08054569013804784,-0.2831221496162315,-0.2226945334267786,-0.34784546925034465,-0.34854468817300716,-0.19592232599376017,-0.5876936774596209,-0.40009448752993687,0.4897041371160565,-0.24147591952386427
-0.23453406827977719,-1.8814885638981085,-0.2908307345987835,-0.24270817224889465,-0.1273465095030923,-0.21314519136091073,1.0382297175777215,-0.4892449250987855,-0.3769635055976098,-0.16147252278407132,0.11965510248083924,0.1317359917467241,0.22957115077042453,-0.4968729084619356,-0.47660808257105813,-0.5995167224245047,-0.29409939743791946,-0.43325548501968936,-1.121302202999541,-0.2806934428718054
