CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0.0,-0.8,0.3644214162348877,-0.5,0.0,-1.0,0.0,-0.48148148148148145,-1.0,-0.875,0.0,-0.7142857142857143,-2.0,-0.6363636363636364,1.3369565217391304,0.0,-0.6363636363636364,-0.5,0.25,0.0,13.0,-0.42857142857142855,-0.625,0.05263157894736842,-0.48,-0.6153846153846154,0.41025641025641024,-0.20465116279069767,-0.3492063492063492,3.63727959697733,0.7105263157894737,-0.08080808080808081,-0.5,0.05405405405405406,0.0,-0.6,-1.0,-0.575,-1.0,0.0,-0.625,-1.0,-0.7,-0.8571428571428571,0.0,-0.5833333333333334,-0.8749999999999997,-1.0,-0.2,-0.5814393939393949,-1.0,-0.3333333333333333,-0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-1.3606270266802858,0.0,0.0,2.0,0.0,1.0
2.0,0.0,1.8670120898100173,0.8333333333333334,1.0,0.0,1.0,3.185185185185185,0.0,0.0,1.0,-0.14285714285714285,0.0,2.8181818181818183,2.0760869565217392,0.0,2.8181818181818183,2.9166666666666665,1.1875,2.0,0.6666666666666666,1.0,3.5,1.4105263157894736,2.88,3.6153846153846154,1.0256410256410255,1.7364341085271318,1.9523809523809523,-0.10075566750629722,2.1315789473684212,1.6262626262626263,0.8333333333333334,1.2972972972972974,0.5,3.1,0.5,0.4875,0.5,1.0,0.75,1.0,1.0,-0.06766917293233148,0.0,-0.08333333333333333,-0.0690789473684217,0.0,2.466666666666667,0.8396132376395521,0.0,0.6666666666666666,0.17777777777777784,0.0,0.0,0.0,0.0,0.0,0.0,0.16526576771345775,0.0,0.0,0.0,0.0,1.5
0.0,-0.7,-0.49222797927461137,-0.3333333333333333,0.0,0.0,0.0,-0.18518518518518517,-0.5,-0.8125,0.0,-0.7142857142857143,-1.0,0.09090909090909091,-0.5108695652173914,0.0,0.09090909090909091,-0.16666666666666666,-0.3958333333333333,0.0,0.0,-0.2857142857142857,0.375,-0.35789473684210527,-0.16,0.0,-0.38461538461538464,-0.39069767441860465,-0.3492063492063492,0.513853904282116,-0.5789473684210527,-0.3939393939393939,-0.3333333333333333,-0.47297297297297297,0.0,0.2,-0.5,-0.575,1.0,0.0,-0.625,0.0,-0.6,-0.7857142857142857,0.0,-0.5,-0.5833333333333331,0.0,-0.13333333333333333,-0.2064393939393954,0.0,-0.3333333333333333,-0.5333333333333333,0.0,1.0,1.0,1.0,31.0,0.0,0.38608742971159066,1.0,0.0,0.0,1.0,-0.5
0.0,-0.6,-0.31951640759930916,-0.16666666666666666,0.0,0.0,0.0,-0.07407407407407407,-0.5,-0.6875,0.0,-0.5714285714285714,-1.0,0.18181818181818182,-0.32608695652173914,0.0,0.18181818181818182,-0.08333333333333333,-0.16666666666666666,0.0,1.3333333333333333,-0.14285714285714285,0.5,-0.2,-0.08,0.07692307692307693,-0.1282051282051282,-0.27906976744186046,-0.1111111111111111,0.2821158690176324,-0.18421052631578946,-0.1414141414141414,-0.16666666666666666,-0.16216216216216217,0.0,0.3,-0.5,0.1875,0.0,0.0,-0.125,0.0,-0.3,-0.4126984126984114,1.0,-0.08333333333333333,-0.2268518518518524,0.0,-0.06666666666666667,-0.16477272727272915,0.0,0.0,-0.2909090909090907,0.0,0.0,0.0,0.0,0.0,0.0,0.38608742971159066,0.0,0.0,0.0,0.0,-0.5
0.0,-0.7,-0.4438687392055268,-0.3333333333333333,1.0,0.0,0.0,-0.4444444444444444,-0.5,-0.4375,0.0,0.14285714285714285,-1.0,-0.5454545454545454,-0.31521739130434784,0.0,-0.5454545454545454,-0.4583333333333333,-0.5416666666666666,0.0,0.0,-0.2857142857142857,-0.625,-0.35789473684210527,-0.44,-0.5384615384615384,-0.5641025641025641,-0.44031007751937984,-0.3492063492063492,7.738035264483627,-0.47368421052631576,-0.46464646464646464,-0.3333333333333333,-0.4594594594594595,0.0,-0.5,-0.5,-0.575,-1.0,1.0,-0.5,-1.0,0.3,2.0,10.0,-0.5,-0.5833333333333331,0.0,-0.13333333333333333,-0.2064393939393954,0.0,-0.3333333333333333,-0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.38608742971159066,0.0,0.0,0.0,0.0,-0.5
0.0,-0.7,-0.16753022452504318,-0.3333333333333333,0.0,0.0,0.0,-0.25925925925925924,-0.5,-0.125,0.0,0.8571428571428571,-1.0,-0.09090909090909091,0.4891304347826087,0.0,-0.09090909090909091,-0.25,-0.4166666666666667,0.0,0.0,-0.2857142857142857,0.125,-0.35789473684210527,-0.24,-0.15384615384615385,-0.41025641025641024,-0.40310077519379844,-0.3492063492063492,10.055415617128464,-0.47368421052631576,-0.40404040404040403,-0.3333333333333333,-0.3783783783783784,0.0,0.0,-0.5,-0.575,-1.0,0.0,-0.5,-1.0,-0.7,-0.8571428571428571,0.0,-0.5,-0.5833333333333331,0.0,-0.13333333333333333,-0.2064393939393954,0.0,-0.3333333333333333,-0.5333333333333333,0.0,1.0,1.0,1.0,125.0,0.0,0.38608742971159066,1.0,0.0,0.0,1.0,-0.5
0.0,-0.4,-0.36787564766839376,-0.3333333333333333,5.0,0.0,0.0,-0.25925925925925924,-0.5,-0.625,0.0,-0.7142857142857143,-1.0,-0.18181818181818182,-0.4891304347826087,0.0,-0.18181818181818182,-0.2916666666666667,-0.3541666666666667,0.0,1.3333333333333333,-0.14285714285714285,-0.625,-0.28421052631578947,-0.28,-0.23076923076923078,-0.3333333333333333,-0.27286821705426356,-0.23809523809523808,-0.24181360201511334,-0.18421052631578946,-0.30303030303030304,-0.3333333333333333,-0.3108108108108108,0.0,-0.1,-0.5,0.175,-0.5,0.0,-0.5,0.0,-0.2,-0.11428571428571425,1.0,-0.25,-0.40833333333333316,0.0,-0.13333333333333333,-0.2064393939393954,0.0,-0.3333333333333333,-0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.2557036150645283,0.0,0.0,1.0,0.0,-0.5
0.0,0.1,0.5233160621761658,-0.16666666666666666,0.0,0.0,2.0,0.4444444444444444,-0.5,-0.0625,1.0,0.0,-1.0,0.9090909090909091,0.6847826086956522,0.0,0.9090909090909091,0.5416666666666666,1.2708333333333333,0.0,0.0,-0.14285714285714285,1.5,0.6842105263157895,0.52,0.6923076923076923,1.0256410256410255,0.6325581395348837,0.3492063492063492,-0.11083123425692694,0.10526315789473684,0.6060606060606061,-0.16666666666666666,0.6351351351351351,0.0,1.0,-0.5,0.15,0.5,0.0,0.25,0.0,-0.5,-0.5714285714285714,0.0,0.08333333333333333,0.2916666666666666,0.0,-0.06666666666666667,-0.029968805704100616,0.0,0.0,-0.06549707602339201,0.0,3.0,3.0,1.0,46.0,34.0,0.38608742971159066,1.0,0.0,0.0,1.0,-0.5
0.0,1.6,0.6269430051813472,-0.3333333333333333,0.0,0.0,0.0,-0.14814814814814814,-0.5,1.25,1.0,0.0,-1.0,0.18181818181818182,0.05434782608695652,0.0,0.18181818181818182,-0.125,0.0625,0.0,0.0,-0.2857142857142857,0.5,1.7157894736842105,-0.12,0.07692307692307693,0.1282051282051282,0.9364341085271318,2.0,-0.5239294710327457,0.9473684210526315,1.303030303030303,-0.3333333333333333,1.7837837837837838,2.0,0.2,-0.5,-0.575,1.0,0.0,0.125,0.0,-0.5,-0.761904761904762,0.0,0.5833333333333334,0.6805555555555545,1.0,-0.13333333333333333,-0.2064393939393954,0.0,-0.3333333333333333,-0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.38608742971159066,0.0,0.0,0.0,0.0,-0.5
0.0,-0.8,0.16407599309153714,-0.5,0.0,-1.0,53.0,-0.48148148148148145,-1.0,-0.875,0.0,-0.7142857142857143,-2.0,-0.6363636363636364,0.15217391304347827,0.0,-0.6363636363636364,-0.5,0.8125,0.0,1.3333333333333333,-0.42857142857142855,-0.625,0.37894736842105264,-0.48,-0.6153846153846154,0.9230769230769231,0.037209302325581395,-0.20634920634920634,0.13098236775818642,1.0526315789473684,0.21212121212121213,-0.5,0.4189189189189189,0.0,-0.6,-1.0,-0.575,-0.5,0.0,-0.375,0.0,-0.7,-0.8571428571428571,0.0,-0.5833333333333334,-0.8749999999999997,-1.0,-0.2,-0.5814393939393949,-1.0,-0.3333333333333333,-0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-2.3054661147831372,0.0,0.0,1.0,0.0,1.0
