DDEV,MAJOR_COMMIT,OWN_COMMIT,Added_lines,Del_lines,ADEV,COMM,CountStmtDecl,CountLineCodeDecl,SumCyclomaticStrict,CountClassCoupled,AvgCyclomaticStrict,CountLineCode,MaxNesting_Mean,CountPath_Max,OWN_LINE,CountLineBlank,SumCyclomatic,CountLine,MaxCyclomaticStrict
1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,1.0,0.884615384615385,5.0,1.0,26.0,1.0
1.0,1.0,1.0,16.0,16.0,2.0,2.0,7.0,7.0,4.0,0.0,1.0,16.0,0.0,1.0,0.53968253968254,7.0,4.0,63.0,1.0
1.0,1.0,1.0,10.0,8.0,3.0,3.0,8.0,9.0,3.0,56.0,1.0,70.0,0.0,1.0,1.0,9.0,3.0,109.0,1.0
1.0,1.0,1.0,7.0,10.0,2.0,2.0,16.0,15.0,7.0,0.0,4.0,35.0,2.25,6.0,1.0,6.0,7.0,60.0,6.0
1.0,1.0,1.0,8.0,10.0,2.0,2.0,25.0,25.0,7.0,3.0,1.0,41.0,0.0,1.0,0.954337899543379,23.0,7.0,219.0,1.0
1.0,1.0,1.0,58.0,57.0,2.0,2.0,19.0,19.0,14.0,0.0,2.0,65.0,0.7,3.0,0.633663366336634,15.0,14.0,101.0,3.0
2.7860643052769536,2.7860643052769536,0.5534839236807616,52.43277166332345,51.57212861055391,4.0,4.0,80.5721286105539,79.07457874749258,78.61730571478236,3.7860643052769536,5.213935694723046,405.99342337024217,1.7072490694564182,7933.808718272747,0.6759943117953697,52.72128610553908,73.1148555778437,548.6695323715528,18.144257221107814
2.340577365308098,2.340577365308098,0.6152170898253266,236.39863748360037,213.76094694483277,8.021732095924294,8.021732095924294,51.16672059791374,51.16672059791374,37.89133952037852,7.615958442843312,2.0,174.37690538767606,0.929321064734748,5.659422634691902,0.6856980198575865,26.978267904075704,36.57249425099472,235.9493996386708,5.0
1.0,1.0,1.0,1.0,2.0,1.0,1.0,29.0,27.0,17.0,2.0,3.0,88.0,1.54545454545455,4.0,1.0,15.0,17.0,122.0,4.0
1.0,1.0,1.0,7.0,8.0,3.0,3.0,14.0,15.0,5.0,0.0,1.0,37.0,0.5,2.0,0.727272727272727,10.0,5.0,88.0,2.0
1.0,1.0,1.0,3.0,3.0,1.0,1.0,11.0,12.0,6.0,4.0,1.0,40.0,0.428571428571429,2.0,0.732394366197183,10.0,6.0,71.0,2.0
