CountLineCodeDecl,CountDeclMethodProtected,CountStmtDecl,CountPath_Mean,ADEV,COMM,CountDeclInstanceVariable,CountOutput_Max,Del_lines,MaxCyclomaticStrict,CountLineCode,CountStmt,CountPath_Max,CountDeclClass,DDEV,CountSemicolon,MaxCyclomatic,CountLineCodeExe,MaxInheritanceTree,MAJOR_COMMIT
7.0,0.0,7.0,1.0,2.0,2.0,0.0,9.0,0.0,1.0,20.0,14.0,1.0,1.0,2.0,11.0,1.0,9.0,3.0,2.0
17.0,0.0,17.0,1.0,3.0,3.0,0.0,16.0,1.0,1.0,53.0,45.0,1.0,1.0,3.0,41.0,1.0,35.0,3.0,3.0
28.0,4.0,26.0,1.05555555555556,3.0,3.0,1.0,4.0,47.0,2.0,90.0,49.0,2.0,1.0,3.0,29.0,2.0,25.0,9.0,3.0
10.0,0.0,10.0,1.0,2.0,2.0,0.0,13.0,0.0,1.0,49.0,39.0,1.0,1.0,2.0,34.0,1.0,32.0,3.0,2.0
71.18457834173319,3.0,80.19421687814994,1.0676648476850554,6.791325317224914,6.791325317224914,2.0,10.805783121850055,11.776867512599772,2.0,257.75759043976626,180.364337415258,2.0,6.805783121850057,4.199036146358324,151.36915668346637,2.0,145.16048200069127,2.0,4.199036146358324
19.0,0.0,19.0,1.0,2.0,2.0,0.0,5.0,0.0,1.0,56.0,29.0,1.0,7.0,2.0,21.0,1.0,17.0,7.0,2.0
10.0,0.0,10.0,1.0,4.0,4.0,0.0,8.0,54.0,1.0,17.0,12.0,1.0,1.0,3.0,10.0,1.0,5.0,5.0,3.0
12.138925270245377,1.0,12.90126690688478,1.2245366039256496,5.950633453442389,5.950633453442389,1.237658363360597,5.475316726721195,38.55570108098151,2.0,40.51550890385135,22.56487545040896,2.0,1.762341636639403,3.0,15.851900360327168,2.0,12.66360854352418,3.1882918168029866,3.0
20.30618737068712,2.67345315732822,23.65309368534356,1.3999927700825738,6.69381262931288,6.69381262931288,1.67345315732822,5.02035947198466,18.12215683190796,4.02035947198466,75.08143788793865,41.02035947198466,4.69381262931288,2.0,4.34690631465644,26.32654684267178,3.34690631465644,27.7345315732822,4.69381262931288,4.34690631465644
25.0,2.0,30.0,1.46153846153846,2.0,2.0,5.0,7.0,0.0,6.0,120.0,69.0,4.0,5.0,2.0,49.0,6.0,57.0,1.0,2.0
8.0,1.0,8.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,16.0,10.0,1.0,1.0,2.0,7.0,1.0,3.0,3.0,2.0
13.0,0.0,13.0,3.5,2.0,2.0,2.0,7.0,0.0,6.0,48.0,26.0,6.0,1.0,2.0,18.0,6.0,18.0,1.0,2.0
13.0,0.0,13.0,1.0,3.0,3.0,0.0,7.0,1.0,1.0,32.0,24.0,1.0,1.0,3.0,20.0,1.0,17.0,3.0,3.0
100.0,2.0,101.0,2.94117647058824,4.0,4.0,5.0,21.0,3.0,9.0,304.0,185.0,15.0,7.0,3.0,138.0,9.0,128.0,5.0,3.0
9.0,0.0,8.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,17.0,10.0,1.0,1.0,3.0,7.0,1.0,3.0,3.0,3.0
5.0,0.0,5.0,1.0,4.0,4.0,0.0,4.0,2.0,1.0,13.0,8.0,1.0,1.0,3.0,5.0,1.0,3.0,3.0,3.0
13.0,1.0,13.0,1.0,2.0,2.0,0.0,4.0,0.0,1.0,27.0,17.0,1.0,1.0,2.0,12.0,1.0,6.0,3.0,2.0
39.0,0.0,37.0,3.5,7.0,7.0,0.0,13.0,27.0,7.0,102.0,61.0,6.0,2.0,5.0,46.0,5.0,44.0,2.0,5.0
110.0071862915873,2.0,115.29392719038547,17.66464350664459,3.7962116853709102,3.7962116853709102,10.98105842685455,26.165905168338192,5.388635056112731,26.573481797596372,479.4363217956074,260.467018650311,468.830191454953,6.388635056112731,2.898105842685455,186.48596022345643,22.471587640281825,203.48596022345643,2.7962116853709102,2.898105842685455
5.0,0.0,5.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,10.0,6.0,1.0,1.0,2.0,4.0,1.0,2.0,5.0,2.0
33.0,3.0,34.0,1.77777777777778,2.0,2.0,0.0,11.0,0.0,5.0,100.0,62.0,5.0,1.0,2.0,45.0,5.0,39.0,3.0,2.0
13.0,1.0,13.0,1.0,5.0,5.0,0.0,2.0,6.0,1.0,24.0,15.0,1.0,1.0,3.0,10.0,1.0,3.0,3.0,3.0
68.3748325861821,5.017785394078038,66.14272958947207,2.132809012212127,11.785682397368015,11.785682397368015,6.214317602631983,18.339261798026012,220.12449775854623,7.446420599342004,195.64250637104817,121.26767378486608,10.892841198684009,2.0,4.339261798026012,91.58915018881407,7.0,81.3748325861821,5.660738201973988,4.339261798026012
43.68142799250669,2.805306287855234,45.97346856072383,2.566959296701077,4.292040568217149,4.292040568217149,2.9026531439276173,11.61061257571047,4.070815416796211,5.707959431782851,136.68142799250668,89.97346856072383,7.513265719638086,1.3893874242895317,3.194693712144766,64.75224340930289,5.707959431782851,63.36285598501336,8.70795943178285,3.194693712144766
